component,cve,summary,severity,cvss,rule,has_poc,references_count,file
OpenClaw,CVE-2026-41374,OpenClaw 2026.3.31 之前版本存在未授权资源消耗漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"version < ""2026.3.31""",False,3,CVE-2026-41374.yaml
OpenClaw,CVE-2026-41375,OpenClaw 2026.3.28 之前版本 /phone arm 和 /phone disarm 接口存在授权绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.3.28""",False,3,CVE-2026-41375.yaml
OpenClaw,CVE-2026-41376,OpenClaw 2026.3.31 之前版本在 Matrix 线程/回复上下文发件人验证中存在允许列表绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41376.yaml
OpenClaw,CVE-2026-41377,OpenClaw 插件安装安全扫描失效漏洞（fail-open）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,0,CVE-2026-41377.yaml
OpenClaw,CVE-2026-41378,OpenClaw 2026.3.31 版本前 - 通过不受限制的节点事件 Agent 调度实现权限提升至远程代码执行,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.3.31""",False,3,CVE-2026-41378.yaml
OpenClaw,CVE-2026-41379,OpenClaw 2026.3.28 之前版本存在权限提升漏洞，可通过 chat.send 接口越权访问管理员级 Talk Voice 配置,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:N,"version < ""2026.3.28""",False,3,CVE-2026-41379.yaml
OpenClaw,CVE-2026-41380,OpenClaw 执行审批绕过漏洞（allow-always 载体可执行文件路由）,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.28""",False,3,CVE-2026-41380.yaml
OpenClaw,CVE-2026-41381,OpenClaw 2026.3.31 之前版本存在 Discord 语音管理器访问控制绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41381.yaml
OpenClaw,CVE-2026-41382,OpenClaw Discord 语音接入授权绕过漏洞（频道与角色验证缺陷）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41382.yaml
OpenClaw,CVE-2026-41383,OpenClaw 2026.4.2 之前版本存在镜像模式路径配置不当导致的任意远程目录删除漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,"version < ""2026.4.2""",False,3,CVE-2026-41383.yaml
OpenClaw,CVE-2026-41384,OpenClaw 2026.3.24 以下版本 - 通过工作区配置注入环境变量,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.24""",False,3,CVE-2026-41384.yaml
OpenClaw,CVE-2026-41385,OpenClaw 2026.3.31 之前版本通过 config.get 脱敏绕过导致 Nostr 私钥明文泄露,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41385.yaml
OpenClaw,CVE-2026-41386,OpenClaw 2026.3.22 之前版本 - 未绑定 Bootstrap 配对码导致的权限提升漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.3.22""",False,3,CVE-2026-41386.yaml
OpenClaw,CVE-2026-41387,OpenClaw 2026.3.22 以下版本存在宿主环境变量净化不完整漏洞，可导致供应链重定向攻击,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.22""",False,2,CVE-2026-41387.yaml
OpenClaw,CVE-2026-41388,OpenClaw 2026.3.31 版本之前存在配置管理漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41388.yaml
OpenClaw,CVE-2026-41389,OpenClaw 通过未经验证的工具结果媒体路径实现任意本地文件及 UNC 路径读取（2026.4.7 至 2026.4.15 之前版本）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,"version >= ""2026.4.7"" && version < ""2026.4.15""",False,5,CVE-2026-41389.yaml
OpenClaw,CVE-2026-41390,OpenClaw 2026.3.28 版本前存在 exec 白名单绕过漏洞（通过未注册的 /usr/bin/script 包装器）,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.28""",False,2,CVE-2026-41390.yaml
OpenClaw,CVE-2026-41391,OpenClaw 2026.3.31 之前版本 - 包索引 URL 处理中的环境变量注入漏洞,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41391.yaml
OpenClaw,CVE-2026-41392,OpenClaw 2026.3.31 之前版本存在 exec 白名单绕过漏洞,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.31""",False,3,CVE-2026-41392.yaml
OpenClaw,CVE-2026-41393,OpenClaw 2026.3.31 之前版本存在广域发现漏洞，可导致凭据泄露,MEDIUM,CVSS:3.1/AV:A/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41393.yaml
OpenClaw,CVE-2026-41394,OpenClaw 未授权 plugin-auth HTTP 路由获得 operator 写权限漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:N,"version < ""2026.3.31""",False,4,CVE-2026-41394.yaml
OpenClaw,CVE-2026-41395,OpenClaw Plivo V3 Webhook 通过查询参数重排序绕过重放检测漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.3.28""",False,2,CVE-2026-41395.yaml
OpenClaw,CVE-2026-41396,OpenClaw 2026.3.31 之前版本存在插件信任根目录可被工作区 .env 文件覆盖的漏洞,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.3.31""",False,3,CVE-2026-41396.yaml
OpenClaw,CVE-2026-41397,OpenClaw 2026.3.31 之前版本存在沙箱逃逸漏洞，攻击者可通过文件同步操作中的符号链接遍历突破目录边界,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.3.31""",False,4,CVE-2026-41397.yaml
OpenClaw,CVE-2026-41398,OpenClaw 2026.4.2 之前版本 iOS A2UI 桥接组件存在访问控制不当漏洞,MEDIUM,CVSS:3.1/AV:A/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:L,"version < ""2026.4.2""",False,3,CVE-2026-41398.yaml
OpenClaw,CVE-2026-41399,OpenClaw 未授权 WebSocket 升级无限制导致拒绝服务,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version < ""2026.3.28""",False,2,CVE-2026-41399.yaml
OpenClaw,CVE-2026-41400,OpenClaw voice-call 组件通过超大 pre-start WebSocket 帧导致拒绝服务（CVE-2026-32062 的不完整修复）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,"version < ""2026.3.31""",False,3,CVE-2026-41400.yaml
OpenClaw,CVE-2026-41402,OpenClaw 2026.3.31 之前版本存在 Webhook 重放缓存跨目标绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41402.yaml
OpenClaw,CVE-2026-41404,OpenClaw 2026.3.31 之前版本 - 受信代理认证模式权限提升漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.3.31""",False,3,CVE-2026-41404.yaml
OpenClaw,CVE-2026-41405,OpenClaw 2026.3.31 之前版本存在未认证资源耗尽漏洞（MS Teams Webhook）,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version < ""2026.3.31""",False,3,CVE-2026-41405.yaml
OpenClaw,CVE-2026-41406,OpenClaw 发件人白名单绕过漏洞（通过线程历史与引用消息）（CVE-2026-41406）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,"version < ""2026.3.31""",False,3,CVE-2026-41406.yaml
OpenClaw,CVE-2026-41408,OpenClaw 2026.3.31 之前版本存在媒体下载资源耗尽漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,"version < ""2026.3.31""",False,3,CVE-2026-41408.yaml
OpenClaw,CVE-2026-41908,OpenClaw 2026.4.20 以下版本 assistant-media 路由存在 scope 强制执行绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"version < ""2026.4.20""",False,3,CVE-2026-41908.yaml
OpenClaw,CVE-2026-41909,OpenClaw 2026.4.20 之前版本存在配对设备管理的越权漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.4.20""",False,3,CVE-2026-41909.yaml
OpenClaw,CVE-2026-41910,OpenClaw 2026.4.8 之前版本存在跨频道白名单越权写入漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"version < ""2026.4.8""",False,3,CVE-2026-41910.yaml
OpenClaw,CVE-2026-41911,OpenClaw 2026.4.8 之前版本在 docx 上传处理中存在文件系统策略绕过漏洞。,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.4.8""",False,0,CVE-2026-41911.yaml
OpenClaw,CVE-2026-41912,OpenClaw 2026.4.8 之前版本存在交互触发导航的 SSRF 策略绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:H/I:L/A:N,"version < ""2026.4.8""",False,3,CVE-2026-41912.yaml
OpenClaw,CVE-2026-41914,OpenClaw QQ Bot 媒体下载路径存在服务端请求伪造漏洞（2026.4.8 版本前）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,"version < ""2026.4.8""",False,3,CVE-2026-41914.yaml
OpenClaw,CVE-2026-41915,OpenClaw 2026.4.8 之前版本存在 Git 环境变量注入漏洞,MEDIUM,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:L/I:H/A:N,"version < ""2026.4.8""",False,3,CVE-2026-41915.yaml
OpenClaw,CVE-2026-41916,OpenClaw 2026.4.8 之前版本存在认证状态管理漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.4.8""",False,3,CVE-2026-41916.yaml
OpenClaw,CVE-2026-42420,OpenClaw 2026.4.8 之前版本存在 base64 解码大小校验不当导致的拒绝服务漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,"version < ""2026.4.8""",False,3,CVE-2026-42420.yaml
OpenClaw,CVE-2026-42421,OpenClaw 2026.4.8 之前版本存在会话管理漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.4.8""",False,3,CVE-2026-42421.yaml
OpenClaw,CVE-2026-42422,OpenClaw 2026.4.8 之前版本存在设备令牌轮换角色绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.8""",False,3,CVE-2026-42422.yaml
OpenClaw,CVE-2026-42423,OpenClaw 2026.4.8 之前版本存在审批超时回退机制，可绕过 strictInlineEval 显式审批要求,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.8""",False,0,CVE-2026-42423.yaml
OpenClaw,CVE-2026-42424,OpenClaw 2026.4.8 之前版本存在跨通道本地文件泄露漏洞（通过可信共享回复 MEDIA 路径）。,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:N/A:N,"version < ""2026.4.8""",False,3,CVE-2026-42424.yaml
OpenClaw,CVE-2026-42426,OpenClaw 2026.4.8 之前版本 node.pair.approve 存在不当授权漏洞（CWE-863）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.8""",False,3,CVE-2026-42426.yaml
OpenClaw,CVE-2026-42428,OpenClaw 2026.4.8 之前版本插件包下载缺少完整性验证（CWE-353）,HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.4.8""",False,3,CVE-2026-42428.yaml
OpenClaw,CVE-2026-42429,OpenClaw 2026.4.8 之前版本 gateway 插件 HTTP 认证机制存在权限提升漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:H/A:N,"version < ""2026.4.8""",False,3,CVE-2026-42429.yaml
OpenClaw,CVE-2026-42431,OpenClaw 2026.4.8 以下版本 - 通过 node.invoke(browser.proxy) 绕过持久化浏览器配置文件保护的安全漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.4.8""",False,3,CVE-2026-42431.yaml
OpenClaw,CVE-2026-42432,OpenClaw 2026.4.8 之前版本存在权限提升漏洞,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.8""",False,3,CVE-2026-42432.yaml
OpenClaw,CVE-2026-42433,OpenClaw operator.write 消息工具路径授权绕过漏洞（2026.4.10 之前版本）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.4.10""",False,3,CVE-2026-42433.yaml
OpenClaw,CVE-2026-42434,OpenClaw 沙箱逃逸漏洞，允许受沙箱限制的 Agent 通过 host=node 参数覆盖 exec 路由,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version >= ""2026.4.5"" && version < ""2026.4.10""",False,3,CVE-2026-42434.yaml
OpenClaw,CVE-2026-42435,OpenClaw Shell-Wrapper 检测绕过漏洞（环境变量赋值注入）(CVE-2026-42435),HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version >= ""2026.2.22"" && version < ""2026.4.12""",False,3,CVE-2026-42435.yaml
OpenClaw,CVE-2026-42436,OpenClaw 2026.4.14 之前版本 - 浏览器快照/截图路由访问控制缺陷导致 SSRF 绕过,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.14""",False,3,CVE-2026-42436.yaml
OpenClaw,CVE-2026-42437,OpenClaw 语音通话实时路径超大 WebSocket 帧拒绝服务漏洞（2026.4.10 之前版本）,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,"version < ""2026.4.10""",False,3,CVE-2026-42437.yaml
OpenClaw,CVE-2026-42438,OpenClaw 发件人策略绕过漏洞导致 host-media 附件读取未授权本地文件泄露,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version >= ""2026.4.9"" && version < ""2026.4.10""",False,3,CVE-2026-42438.yaml
OpenClaw,CVE-2026-42439,OpenClaw 浏览器标签页操作端点存在 SSRF 策略绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,"version < ""2026.4.10""",False,2,CVE-2026-42439.yaml
OpenClaw,CVE-2026-43526,OpenClaw QQBot 回复媒体 URL 处理存在服务端请求伪造漏洞（2026.4.12 之前版本）,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,"version < ""2026.4.12""",False,4,CVE-2026-43526.yaml
OpenClaw,CVE-2026-43527,OpenClaw 2026.4.14 之前版本存在浏览器 SSRF 漏洞，默认允许私有网络导航,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.14""",False,5,CVE-2026-43527.yaml
OpenClaw,CVE-2026-43528,OpenClaw 2026.4.14 版本之前存在密钥脱敏绕过漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.4.14""",False,3,CVE-2026-43528.yaml
OpenClaw,CVE-2026-43530,OpenClaw 2026.2.23 至 2026.4.12 之前版本存在 exec 审批绑定弱化漏洞，可通过 busybox/toybox applet 执行路径绕过,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version >= ""2026.2.23"" && version < ""2026.4.12""",False,3,CVE-2026-43530.yaml
OpenClaw,CVE-2026-43531,OpenClaw 工作区 .env 文件环境变量注入漏洞（2026.4.9 之前版本）,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.4.9""",False,3,CVE-2026-43531.yaml
OpenClaw,CVE-2026-43532,OpenClaw 沙箱媒体规范化绕过漏洞（Discord 活动封面图像参数注入，版本 2026.4.7 - 2026.4.9）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version >= ""2026.4.7"" && version < ""2026.4.10""",False,3,CVE-2026-43532.yaml
OpenClaw,CVE-2026-43533,OpenClaw 2026.4.10 之前版本存在任意文件读取漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43533.yaml
OpenClaw,CVE-2026-43534,OpenClaw 2026.4.10 之前版本允许将不可信 hook 输入提升至受信 Agent 上下文,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43534.yaml
OpenClaw,CVE-2026-43535,OpenClaw 2026.4.14 之前版本 - Collect 模式队列批处理中的授权上下文复用漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.4.14""",False,3,CVE-2026-43535.yaml
OpenClaw,CVE-2026-43566,OpenClaw 通过不受信任的 Webhook 唤醒事件实现权限提升（影响版本 2026.4.7 至 2026.4.14 之前）,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version >= ""2026.4.7"" && version < ""2026.4.14""",False,3,CVE-2026-43566.yaml
OpenClaw,CVE-2026-43567,OpenClaw 2026.4.10 之前版本存在路径遍历漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43567.yaml
OpenClaw,CVE-2026-43568,OpenClaw 2026.4.5 至 2026.4.10 之前版本存在权限提升漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version >= ""2026.4.5"" && version < ""2026.4.10""",False,3,CVE-2026-43568.yaml
OpenClaw,CVE-2026-43569,OpenClaw 未授信工作区插件自动启用导致身份验证绕过,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.4.9""",False,2,CVE-2026-43569.yaml
OpenClaw,CVE-2026-43570,OpenClaw 远程市场仓库路径处理中存在符号链接遍历漏洞（影响版本 2026.3.22 至 2026.4.5）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,"version >= ""2026.3.22"" && version < ""2026.4.5""",False,4,CVE-2026-43570.yaml
OpenClaw,CVE-2026-43571,OpenClaw 2026.4.10 之前版本存在插件信任绕过漏洞（CWE-829）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.10""",False,3,CVE-2026-43571.yaml
OpenClaw,CVE-2026-43572,OpenClaw Microsoft Teams SSO 调用处理器缺少授权验证漏洞（版本 2026.4.10 - 2026.4.14）,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,"version >= ""2026.4.10"" && version < ""2026.4.14""",False,3,CVE-2026-43572.yaml
OpenClaw,CVE-2026-43573,OpenClaw 2026.4.10 之前版本存在 SSRF 策略绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43573.yaml
OpenClaw,CVE-2026-43574,OpenClaw 2026.4.12 之前版本存在不当授权漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.4.12""",False,3,CVE-2026-43574.yaml
OpenClaw,CVE-2026-43575,OpenClaw 沙箱 noVNC 辅助路由认证绕过漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version >= ""2026.2.21"" && version < ""2026.4.10""",False,3,CVE-2026-43575.yaml
OpenClaw,CVE-2026-43576,OpenClaw 2026.4.5 之前版本存在 SSRF 漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.5""",False,3,CVE-2026-43576.yaml
OpenClaw,CVE-2026-43577,OpenClaw 2026.4.9 之前版本存在任意文件读取漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.4.9""",False,3,CVE-2026-43577.yaml
OpenClaw,CVE-2026-43578,OpenClaw 心跳所有者降级检测遗漏本地后台异步执行完成事件导致权限提升漏洞（影响版本 2026.3.31 至 2026.4.10）,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43578.yaml
OpenClaw,CVE-2026-43579,OpenClaw 2026.4.10 之前版本的 Nostr 插件 HTTP 配置接口存在访问控制不当漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43579.yaml
OpenClaw,CVE-2026-43580,OpenClaw 2026.4.10 之前版本存在导航守卫不完整漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.10""",False,5,CVE-2026-43580.yaml
OpenClaw,CVE-2026-43581,OpenClaw 2026.4.10 以下版本 - CDP 中继绑定范围过宽（0.0.0.0）,CRITICAL,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,"version < ""2026.4.10""",False,3,CVE-2026-43581.yaml
OpenClaw,CVE-2026-43582,OpenClaw 2026.4.10 之前版本存在服务端请求伪造漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.10""",False,3,CVE-2026-43582.yaml
OpenClaw,CVE-2026-43583,OpenClaw 2026.4.10 至 2026.4.14 之前版本在传递队列恢复期间未持久化会话上下文,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,"version >= ""2026.4.10"" && version < ""2026.4.14""",False,3,CVE-2026-43583.yaml
OpenClaw,CVE-2026-43584,OpenClaw exec 环境策略中环境变量黑名单不充分漏洞（CVE-2026-43584）,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.10""",False,3,CVE-2026-43584.yaml
OpenClaw,CVE-2026-43585,OpenClaw 2026.4.15 之前版本存在 Bearer Token 在 SecretRef 轮换后仍可复用的漏洞,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.15""",False,3,CVE-2026-43585.yaml
OpenClaw,CVE-2026-44109,OpenClaw 2026.4.15 之前版本存在认证绕过漏洞,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.15""",False,3,CVE-2026-44109.yaml
OpenClaw,CVE-2026-44110,OpenClaw 2026.4.15 之前版本存在授权绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.15""",False,4,CVE-2026-44110.yaml
OpenClaw,CVE-2026-44111,OpenClaw 2026.4.15 之前版本存在任意文件读取漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"version < ""2026.4.15""",False,3,CVE-2026-44111.yaml
OpenClaw,CVE-2026-44112,OpenClaw 2026.4.22 之前的版本在 OpenShell 沙箱文件系统写操作中存在 TOCTOU 竞争条件漏洞。,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,"version < ""2026.4.22""",False,3,CVE-2026-44112.yaml
OpenClaw,CVE-2026-44113,OpenClaw 2026.4.22 之前版本存在 OpenShell 文件系统桥接器竞争条件漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:N/A:N,"version < ""2026.4.22""",False,3,CVE-2026-44113.yaml
OpenClaw,CVE-2026-44114,OpenClaw 2026.4.20 之前版本存在环境变量命名空间冲突漏洞,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,"version < ""2026.4.20""",False,3,CVE-2026-44114.yaml
OpenClaw,CVE-2026-44115,OpenClaw 2026.4.22 之前版本存在 exec 白名单绕过漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.22""",False,3,CVE-2026-44115.yaml
OpenClaw,CVE-2026-44116,OpenClaw 2026.4.22 之前版本的 Zalo 插件 sendPhoto 函数存在服务端请求伪造（SSRF）漏洞,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:N/A:N,"version < ""2026.4.22""",False,3,CVE-2026-44116.yaml
OpenClaw,CVE-2026-44117,OpenClaw 2026.4.20 之前版本存在服务端请求伪造漏洞,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:N/A:N,"version < ""2026.4.20""",False,3,CVE-2026-44117.yaml
OpenClaw,CVE-2026-44118,OpenClaw 2026.4.22 之前版本存在回环 MCP 所有者上下文欺骗漏洞（通过 Bearer Token 请求头）,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,"version < ""2026.4.22""",False,3,CVE-2026-44118.yaml
OpenClaw,CVE-2026-44991,OpenClaw 2026.4.21 之前版本存在通过通配符渠道发送者绕过授权的漏洞,MEDIUM,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:L/I:L/A:N,"version < ""2026.4.21""",False,4,CVE-2026-44991.yaml
